ID,Master.Protein.Accessions,LOC,pepSize,XM,geneID,gene_coords,Marker,Refseq_Description,HumanGene,signalP,Pfam,KEGG,Panther,Expal_4.5.PCA.Dim.1,Expal_4.5.PCA.Dim.2,Expal_4.5.PCA.Dim.3,Expal_4.5.PCA.Dim.4,Expal_4.5.PCA.Dim.5,Expal_4.5.PCA.Dim.6,Expal_4.5.tSNE.Dim.1,Expal_4.5.tSNE.Dim.2,Expal_4.5.umap.Dim.1,Expal_4.5.umap.Dim.2
Host,XP_020915272.1,LOC110252777,254,XM_021059613.1,110252777,NW_018388225.1:67079-75977,20S proteasome,proteasome_subunit_alpha_type-3,PSA3,-,Proteasome_A_N_(8-30);Proteasome_(31-216),K02727:PSMA3;_20S_proteasome_subunit_alpha_7_[EC:3.4.25.1],PTHR11599:SF10::PROTEASOME_SUBUNIT_ALPHA_TYPE-3,-5.117708155,-0.136010982,-3.17573327,-2.700950341,-1.040896816,-1.001194557,117.8429084,47.06828255,4.096072893,-9.919703783
Host,XP_020914183.1,LOC110251782,225,XM_021058524.2,110251782,NW_018384365.1:221464-225078,20S proteasome,proteasome_subunit_beta_type-6,PSB6,-,Proteasome_(24-203),K02738:PSMB6;_20S_proteasome_subunit_beta_1_[EC:3.4.25.1],PTHR11599:SF4::PROTEASOME_SUBUNIT_BETA,-5.643508277,-1.408735876,-3.967934075,-3.971445033,-2.431761807,-0.493830148,121.7610474,49.19263851,4.079556305,-10.26363402
Host,XP_020905051.1,LOC110243300,279,XM_021049392.1,110243300,NW_018384256.1:421621-426976,20S proteasome,proteasome_subunit_beta_type-7,PSB7,-,Proteasome_(40-220);Pr_beta_C_(234-269),K02739:PSMB7;_20S_proteasome_subunit_beta_2_[EC:3.4.25.1],PTHR11599:SF42::PROTEASOME_SUBUNIT_BETA_TYPE-7,-5.532583421,-2.276100748,-3.52111087,-3.432691934,-3.265222297,-0.678928881,122.0416144,49.00584786,4.1379739,-10.25125674
Host,XP_020904721.2,LOC110243013,242,XM_021049062.2,110243013,NW_018386375.1:38752-41206,20S proteasome,proteasome_subunit_alpha_type-5,PSA5,-,Proteasome_A_N_(8-30);Proteasome_(32-220),K02729:PSMA5;_20S_proteasome_subunit_alpha_5_[EC:3.4.25.1],PTHR11599:SF131::PROTEASOME_SUBUNIT_ALPHA_TYPE,-5.32102676,0.355787506,-2.267849867,-2.143013386,-0.929159957,-1.45247539,116.6658468,47.21179334,4.130910941,-9.927211752
Host,XP_020900186.1,LOC110238846,246,XM_021044527.1,110238846,NW_018385538.1:168688-171035,20S proteasome,proteasome_subunit_alpha_type-6,PSA6,-,Proteasome_A_N_(9-31);Proteasome_(35-220),K02730:PSMA6;_20S_proteasome_subunit_alpha_1_[EC:3.4.25.1],PTHR11599:SF110::PROTEASOME_SUBUNIT_ALPHA_TYPE,-4.630227349,-0.012154429,-2.931348003,-2.771472916,-1.463440113,-1.142011066,117.6806751,47.62814315,4.107739625,-9.955670835
Host,XP_020899856.1,LOC110238525,276,XM_021044197.2,110238525,NW_018385493.1:65787-75297,20S proteasome,proteasome_subunit_beta_type-5,PSB5,-,Proteasome_(69-249),K02737:PSMB5;_20S_proteasome_subunit_beta_5_[EC:3.4.25.1],PTHR11599:SF53::PROTEASOME_SUBUNIT_BETA_TYPE-8,-5.452848735,0.372618703,-2.9114536,-2.562411953,-0.998311095,-1.863885701,117.2471694,46.71126964,4.104754254,-9.944309274
Host,XP_020898743.1,LOC110237491,234,XM_021043084.2,110237491,NW_018385343.1:344661-347205,20S proteasome,proteasome_subunit_alpha_type-2,PSA2,-,Proteasome_A_N_(5-27);Proteasome_(30-211),K02726:PSMA2;_20S_proteasome_subunit_alpha_2_[EC:3.4.25.1],PTHR11599:SF16::PROTEASOME_SUBUNIT_ALPHA_TYPE-2,-5.366728015,0.390024893,-3.335362031,-2.69171151,-1.494149188,-1.330153339,118.2284365,46.81036104,4.080711067,-9.96461685
Host,XP_020897739.1,LOC110236543,255,XM_021042080.2,110236543,NW_018385192.1:98950-101775,20S proteasome,proteasome_subunit_alpha_type-7,PSA7,-,Proteasome_A_N_(6-28);Proteasome_(29-214),K02731:PSMA7;_20S_proteasome_subunit_alpha_4_[EC:3.4.25.1],PTHR11599:SF144::PROTEASOME_SUBUNIT_ALPHA-TYPE_8,-5.514372305,0.244991805,-3.444258441,-1.833683138,-1.932475169,-1.570562468,118.2714835,46.09190739,4.138333889,-9.960030126
Host,XP_028514070.1,LOC110236355,1229,XM_028658269.1,110236355,NW_018385166.1:311492-372772,Cytosol 1,indole-3-acetaldehyde_oxidase,-,-,Fer2_(50-98);Fer2_2_(134-169);FAD_binding_5_(208-377);CO_deh_flav_C_(386-491);Ald_Xan_dh_C_(547-656);MoCoBD_1_(687-916);MoCoBD_2_(942-1168),K00106:XDH;_xanthine_dehydrogenase/oxidase_[EC:1.17.1.4_1.17.3.2],PTHR11908:SF132::ALDEHYDE_OXIDASE_1-RELATED,-4.382902571,0.56506942,-1.795189421,-2.198611268,-1.20904569,-0.145962939,118.0783404,60.1221829,4.499706971,-10.09471476
Host,XP_020915792.1,LOC110253248,1551,XM_021060133.2,110253248,NW_018388280.1:168172-187499,Cytosol 1,glycogen_debranching_enzyme,GDE,-,hGDE_N_(29-122);hDGE_amylase_(126-563);hGDE_central_(711-991);GDE_C_(1091-1540),K01196:AGL;_glycogen_debranching_enzyme_[EC:2.4.1.25_3.2.1.33],PTHR10569:SF2::GLYCOGEN_DEBRANCHING_ENZYME,-5.747314514,-0.094787139,-2.983310457,-0.609454082,-0.88138728,-2.433158397,121.9036137,63.57819609,3.98557856,-10.40238472
Host,XP_020915733.1,LOC110253200,400,XM_021060074.2,110253200,NW_018388280.1:602862-607694,Cytosol 1,cystathionine_gamma-lyase,CGL,-,Cys_Met_Meta_PP_(17-392);Aminotran_1_2_(62-239);DegT_DnrJ_EryC1_(63-239),K01758:CTH;_cystathionine_gamma-lyase_[EC:4.4.1.1],PTHR11808:SF15::CYSTATHIONINE_GAMMA-LYASE,-5.877300961,-0.41203281,-2.605704612,-0.044618304,-2.158696888,-1.485914438,102.3219383,50.49284624,4.686452781,-10.19876412
Host,XP_020910990.1,LOC110248779,347,XM_021055331.2,110248779,NW_018387925.1:402320-408528,Cytosol 1,GMP_reductase_2,GMPR2,-,IMPDH_(10-340),"K00364:guaC,_GMPR;_GMP_reductase_[EC:1.7.1.7]",PTHR43170::GMP_REDUCTASE,-5.573150675,-1.976775528,-2.804484472,-1.504470927,-2.896802038,-1.529789584,123.6252005,65.47775754,4.050347113,-10.46680212
Host,XP_020909131.2,LOC110247087,394,XM_021053472.2,110247087,NW_018387638.1:171252-176860,Cytosol 1,pyridoxal_5'-phosphate_synthase_subunit_SNZERR,-,-,SOR_SNZ_(114-319);ThiG_(311-364),"K06215:pdxS,_pdx1;_pyridoxal_5'-phosphate_synthase_pdxS_subunit_[EC:4.3.3.6]",PTHR31829:SF0::PYRIDOXAL_5'-PHOSPHATE_SYNTHASE_SUBUNIT_SNZ1-RELATED,-4.920933306,1.066497862,-2.62228645,-2.614007178,-0.467418284,-2.203092088,120.3092354,66.15861843,3.993902939,-10.55789826
Host,XP_020908167.1,LOC110246190,567,XM_021052508.2,110246190,NW_018387246.1:32278-46786,Cytosol 1,dihydropyrimidinase,DPYS,-,Amidohydro_1_(58-447);Amidohydro_3_(295-448),"K01464:DPYS,_dht,_hydA;_dihydropyrimidinase_[EC:3.5.2.2]",PTHR11647:SF50::DIHYDROPYRIMIDINASE,-5.773795794,0.04920891,-2.412048954,-1.484012168,-0.785559778,-2.032060468,120.411262,62.97814301,4.043772567,-10.36069233
Host,XP_020902422.1,LOC110240943,358,XM_021046763.2,110240943,NW_018385905.1:32189-38978,Cytosol 1,"GDP-mannose_4,6_dehydratase",GMDS,-,Epimerase_(12-260);GDP_Man_Dehyd_(13-344);Polysacc_synt_2_(13-134);RmlD_sub_bind_(13-180),"K01711:gmd,_GMDS;_GDPmannose_4,6-dehydratase_[EC:4.2.1.47]","PTHR43715:SF1::GDP-MANNOSE_4,6_DEHYDRATASE",-5.282615605,0.455321933,-2.677631569,-0.207238505,-0.446716535,-2.810640258,110.0623198,56.72496165,4.318071357,-10.30474641
Host,XP_020902013.1,LOC110240541,349,XM_021046354.2,110240541,NW_018385836.1:933005-935828,Cytosol 1,(S)-coclaurine_N-methyltransferase,-,-,CMAS_(62-327);MTS_(95-224);Methyltransf_23_(100-225);Methyltransf_31_(115-226);Methyltransf_25_(119-214);Methyltransf_12_(120-216);Methyltransf_11_(121-218),-,PTHR43832:SF1::S-ADENOSYL-L-METHIONINE-DEPENDENT_METHYLTRA:SFERASES_SUPERFAMILY_PROTEIN,-4.497650331,0.94013912,-2.698957242,-2.288104847,0.611487808,-1.709809115,121.5656128,61.73111294,3.998070176,-10.35814537
Host,XP_020901896.1,LOC110240424,203,XM_021046237.2,110240424,NW_018385821.1:16498-19165,Cytosol 1,glutathione_S-transferase,HPGDS,-,GST_N_(5-75);GST_N_2_(18-76);GST_C_(99-186);GST_C_3_(99-198);GST_C_2_(141-184),K04097:HPGDS;_prostaglandin-H2_D-isomerase_/_glutathione_transferase_[EC:5.3.99.2_2.5.1.18],PTHR11571:SF224::HEMATOPOIETIC_PROSTAGLANDIN_D_SYNTHASE,-4.73316273,0.510145147,-0.27879786,-1.736909209,-0.194626603,-0.496040949,117.2132666,57.62949726,4.989461307,-9.586779631
Host,XP_020901681.1,LOC110240232,377,XM_021046022.2,110240232,NW_018384223.1:67900-83105,Cytosol 1,alcohol_dehydrogenase_class-3,ADHX,-,ADH_N_(35-164);ADH_zinc_N_(205-324),"K00121:frmA,_ADH5,_adhC;_S-(hydroxymethyl)glutathione_dehydrogenase_/_alcohol_dehydrogenase_[EC:1.1.1.284_1.1.1.1]",PTHR43880:SF21::S-(HYDROXYMETHYL)GLUTATHIONE_DEHYDROGENASE,-4.857228983,0.590314365,-1.332981187,-2.336691612,-0.414489411,-0.909270477,118.2096638,64.804338,4.135463825,-10.44499153
Host,XP_020900113.1,LOC110238769,369,XM_021044454.1,110238769,NW_018385524.1:278464-282361,Cytosol 1,glutamine_synthetase,GLNA,-,Gln-synt_N_(32-105);Gln-synt_C_(133-269),"K01915:glnA,_GLUL;_glutamine_synthetase_[EC:6.3.1.2]",PTHR20852:SF43::GLUTAMINE_SYNTHETASE,-5.795267091,0.822714005,-2.821707108,-3.224065055,-0.579849502,-2.505159405,121.3625716,65.76730891,3.971373517,-10.5086002
Host,XP_020899438.1,LOC110238131,401,XM_021043779.2,110238131,NW_018385429.1:192065-197783,Cytosol 1,betaine--homocysteine_S-methyltransferase_1_isoform_X1,-,-,S-methyl_trans_(20-308),K00544:BHMT;_betaine-homocysteine_S-methyltransferase_[EC:2.1.1.5],PTHR46120:SF1::HCY-BINDING_DOMAIN-CONTAINING_PROTEIN,-5.821269726,-0.564020985,-2.886495465,-1.158181236,0.527433444,-3.492163217,120.996793,62.44928423,4.018755716,-10.37479841
Host,XP_020897532.1,LOC110236358,1309,XM_021041873.2,110236358,NW_018385166.1:373248-385865,Cytosol 1,indole-3-acetaldehyde_oxidase,-,-,Fer2_(38-86);Fer2_2_(116-190);FAD_binding_5_(229-398);CO_deh_flav_C_(407-512);Ald_Xan_dh_C_(568-677);MoCoBD_1_(708-937);MoCoBD_2_(963-1216),K00106:XDH;_xanthine_dehydrogenase/oxidase_[EC:1.17.1.4_1.17.3.2],PTHR11908:SF132::ALDEHYDE_OXIDASE_1-RELATED,-6.00514282,-0.306271795,-1.56927769,-2.524728664,-1.771903491,0.036840204,119.4144825,60.406456,4.263054637,-10.20738205
Host,XP_020896737.1,LOC110235611,593,XM_021041078.2,110235611,NW_018385098.1:1401155-1406700,Cytosol 1,triokinase/FMN_cyclase,TKFC,-,Dak1_(23-344);Dak2_(411-586),"K00863:DAK,_TKFC;_triose/dihydroxyacetone_kinase_/_FAD-AMP_lyase_(cyclizing)_[EC:2.7.1.28_2.7.1.29_4.6.1.15]",PTHR28629::TRIOKINASE/FMN_CYCLASE,-4.212809536,-0.149911439,-2.385338072,-2.385797168,-0.247257221,-0.274352919,115.6554028,66.63994531,4.248313377,-10.52909205
Host,XP_020895793.1,LOC110234746,470,XM_021040134.2,110234746,NW_018384957.1:197800-204562,Cytosol 1,aspartyl_aminopeptidase,DNPEP,-,Peptidase_M18_(20-457),K01267:DNPEP;_aspartyl_aminopeptidase_[EC:3.4.11.21],PTHR28570:SF3::ASPARTYL_AMINOPEPTIDASE,-4.702594418,-1.125393684,-3.245375341,-3.626609638,-1.38855679,-1.34306951,119.453734,69.84515151,3.957174203,-10.75817814
Host,XP_020894349.1,LOC110233396,846,XM_021038690.2,110233396,NW_018384796.1:142598-150088,Cytosol 1,"glycogen_phosphorylase,_muscle_form",PYGM,-,Phosphorylase_(115-830),"K00688:PYG,_glgP;_glycogen_phosphorylase_[EC:2.4.1.1]","PTHR11468:SF13::GLYCOGEN_PHOSPHORYLASE,_MUSCLE_FORM",-4.694034587,0.154919463,-2.294189192,-2.252865182,-0.995707135,-1.158751421,119.6184418,65.13675898,3.998533431,-10.48175602
Host,XP_028519500.1,LOC110254061,380,XM_028663699.1,110254061,NW_018388358.1:170039-173704,Endomembrane vesicles 1,putative_phospholipase_B-like_2,-,SP(Sec/SPI),Phospholip_B_(46-380),-,PTHR12370:SF3::PHOSPHOLIPASE_B-LIKE_2-RELATED,-1.481947888,-0.698831989,-1.314926794,-2.316179667,1.646380192,0.913264756,102.1088398,91.19085863,5.272225856,-10.94944239
Host,XP_028519499.1,LOC110254094,540,XM_028663698.1,110254094,NW_018388358.1:168033-190583,Endomembrane vesicles 1,putative_phospholipase_B-like_2,PLBL2,SP(Sec/SPI),Phospholip_B_(45-533),-,PTHR12370:SF3::PHOSPHOLIPASE_B-LIKE_2-RELATED,-2.183228719,1.964535646,-1.612299217,-4.828672875,0.328892002,-1.100536546,112.9952993,82.14329114,4.248795998,-10.87114819
Host,XP_028519191.1,LOC110253174,388,XM_028663390.1,110253174,NW_018388269.1:431429-435548,Endomembrane vesicles 1,"arylsulfatase_B,_partial",-,-,Sulfatase_(8-240);DUF1501_(142-242),K01135:ARSB;_arylsulfatase_B_[EC:3.1.6.12],PTHR10342::ARYLSULFATASE,-0.739775876,-0.142622925,-0.372987439,-1.558217105,1.158485819,0.921232189,6.261768508,31.0263547,7.629439235,-10.17999951
Host,XP_028518705.1,LOC110251299,304,XM_028662904.1,110251299,NW_018384365.1:213481-219318,Endomembrane vesicles 1,tumor_protein_p63-regulated_gene_1-like_protein_isoform_X1,TPRGL,-,hSac2_(85-178),-,PTHR31108:SF1::HSAC2_DOMAIN-CONTAINING_PROTEIN,-2.518241804,0.00916512,0.813411243,-2.362070868,0.785258593,0.119922254,71.8056731,70.94449185,5.742107048,-10.19330946
Host,XP_028518148.1,LOC110249593,545,XM_028662347.1,110249593,NW_018387975.1:24274-27532,Endomembrane vesicles 1,vegetative_cell_wall_protein_gp1,-,-,-,-,-,-4.37211213,-1.334329753,-3.42630392,-1.911018315,0.022443785,-1.550717798,121.3450432,74.0202956,4.012016788,-10.87381364
Host,XP_028516850.1,LOC110245703,464,XM_028661049.1,110245703,NW_018387076.1:146-17064,Endomembrane vesicles 1,alpha-L-fucosidase_isoform_X1,-,SP(Sec/SPI),Alpha_L_fucos_(22-362);Fucosidase_C_(373-461),K01206:FUCA;_alpha-L-fucosidase_[EC:3.2.1.51],PTHR10030:SF40::ALPHA-L-FUCOSIDASE-RELATED,-2.422841371,1.133017433,-1.725324762,-4.143728327,-0.391131223,-0.776666917,112.6367646,82.70786977,4.362967055,-10.87942114
Host,XP_028514246.1,LOC110236973,215,XM_028658445.1,110236973,NW_018385238.1:216307-217865,Endomembrane vesicles 1,cathepsin_Z,-,SP(Sec/SPI),Peptidase_C1_(57-95);Peptidase_C1_(111-193),K08568:CTSZ;_cathepsin_X_[EC:3.4.18.1],PTHR12411:SF838::CATHEPSIN_X,-1.566156403,-1.104681117,-2.203456758,-2.231682041,0.988939235,1.739232146,102.1273436,91.19126424,5.203117701,-11.02860245
Host,XP_028514094.1,LOC110236420,360,XM_028658293.1,110236420,NW_018385176.1:320466-325094,Endomembrane vesicles 1,beta-hexosaminidase_subunit_beta-like,-,-,Glyco_hydro_20_(1-317),K12373:HEXA_B;_hexosaminidase_[EC:3.2.1.52],PTHR22600:SF38::BETA-HEXOSAMINIDASE_SUBUNIT_BETA,-3.541175509,0.528706423,-1.858389492,-3.384136845,0.131305128,0.112244687,113.8486708,73.35393238,4.243071251,-10.80288197
Host,XP_028514092.1,LOC114574781,405,XM_028658291.1,114574781,NW_018385176.1:325572-328715,Endomembrane vesicles 1,LOW_QUALITY_PROTEIN:_beta-hexosaminidase_subunit_alpha-like,HEXA,-,Glyco_hydro_20_(64-383),K12373:HEXA_B;_hexosaminidase_[EC:3.2.1.52],PTHR22600:SF39::BETA-HEXOSAMINIDASE_SUBUNIT_ALPHA,-3.622985946,-1.718247739,-2.348237212,-2.412459759,-1.141365839,0.568098813,112.873604,77.79021908,4.504198245,-11.01634631
Host,XP_028512998.1,LOC110232728,574,XM_028657197.1,110232728,NW_018384700.1:245339-255019,Endomembrane vesicles 1,beta-glucuronidase,-,SP(Sec/SPI),Glyco_hydro_2_N_(42-224);Glyco_hydro_2_(227-336);Glyco_hydro_2_C_(338-370);Glyco_hydro_2_C_(395-534),"K01195:uidA,_GUSB;_beta-glucuronidase_[EC:3.2.1.31]",PTHR10066::BETA-GLUCURONIDASE,-2.826297358,0.587532187,-2.603052832,-5.526403615,-0.979889784,-1.330697904,119.3275013,77.40024141,4.050802186,-10.76260094
Host,XP_028512723.1,LOC114574417,217,XM_028656922.1,114574417,NW_018384576.1:5201-8221,Endomembrane vesicles 1,ras-related_protein_Rab-14,-,-,Arf_(13-136);Ras_(14-174);Roc_(14-128);MMR_HSR1_(16-110),K07881:RAB14;_Ras-related_protein_Rab-14,PTHR47979:SF75::RAS-RELATED_PROTEIN_RAB-14,-3.089206724,-1.419951555,-0.670438378,-0.610192711,0.125824729,0.07937376,98.49822386,83.52177644,5.304116991,-10.8135095
Host,XP_020917326.1,LOC110254654,182,XM_021061667.2,110254654,NW_018384422.1:921069-925592,Endomembrane vesicles 1,ADP-ribosylation_factor_1-like_2_isoform_X1,ARF1,-,Arf_(6-176);SRPRB_(16-143);Gtr1_RagA_(19-140);MMR_HSR1_(19-123);Ras_(19-134);Roc_(19-129),K07937:ARF1_2;_ADP-ribosylation_factor_1/2,PTHR11711:SF409::ADP-RIBOSYLATION_FACTOR_2,-3.806770403,-0.741022983,-1.52345672,-1.659937952,-1.938414714,-0.713868218,107.2316511,69.46961253,4.413833149,-10.54144408
Host,XP_020917255.1,LOC110254588,642,XM_021061596.2,110254588,NW_018384422.1:433848-440843,Endomembrane vesicles 1,coiled-coil_domain-containing_protein_93,CCD93,-,CCDC93_N_(44-150);CCDC93_CC_(196-635),-,PTHR16441:SF0::COILED-COIL_DOMAIN-CONTAINING_PROTEIN_93,-3.234747945,-0.088615752,-0.660280091,-1.966437624,0.297832478,0.470076835,100.2632956,75.47380839,5.060338312,-10.92146687
Host,XP_020916222.1,LOC110253589,355,XM_021060563.2,110253589,NW_018384102.1:670643-673912,Endomembrane vesicles 1,N-acylethanolamine-hydrolyzing_acid_amidase,NAAA,SP(Sec/SPI),NAAA-beta_(33-86);CBAH_(124-291),K13720:NAAA;_N-(long-chain-acyl)ethanolamine_deacylase_[EC:3.5.1.60],PTHR28583:SF4::N-ACYLETHANOLAMINE-HYDROLYZING_ACID_AMIDASE,-0.214249387,-0.328148255,-0.258696361,-2.445705604,1.172123545,-0.412662972,-49.61277339,0.616848489,-7.796989728,9.368076474
Host,XP_020915332.1,LOC110252826,310,XM_021059673.2,110252826,NW_018388236.1:234517-244103,Endomembrane vesicles 1,cathepsin_B,-,SP(Sec/SPI),Peptidase_C1_(82-304),K01363:CTSB;_cathepsin_B_[EC:3.4.22.1],PTHR12411:SF707::CATHEPSIN_B-LIKE_CYSTEINE_PROTEINASE_5-RELATED,-2.131697299,-3.674792738,-2.437561007,-2.720340066,-0.180305724,-0.999355256,106.1580871,87.62602454,4.792030656,-11.19400333
Host,XP_020913463.1,LOC110251138,621,XM_021057804.1,110251138,NW_018388092.1:195755-200668,Endomembrane vesicles 1,V-type_proton_ATPase_catalytic_subunit_A,VATA,-,ATP-synt_ab_N_(27-88);ATP-synt_ab_Xtn_(130-216);ATP-synt_ab_(234-459);ATP-synt_VA_C_(468-566),"K02145:ATPeV1A,_ATP6A;_V-type_H+-transporting_ATPase_subunit_A_[EC:7.1.2.2]",PTHR43607::V-TYPE_PROTON_ATPASE_CATALYTIC_SUBUNIT_A,-3.004953743,0.051816388,-0.351171508,-1.637872082,0.404181704,-0.203244727,79.80209215,68.22781466,5.589432217,-10.80945658
Host,XP_020913409.1,LOC110251082,2267,XM_021057750.2,110251082,NW_018384354.1:320225-337676,Endomembrane vesicles 1,transport_and_Golgi_organization_protein_1_homolog_isoform_X1,-,-,SH3_2_(19-74);Trefoil_(1225-1264),-,PTHR23158:SF33::TRANSPORT_AND_GOLGI_ORGANIZATION_PROTEIN_1,-1.830736316,-0.05127434,-1.598605983,-1.022005736,0.074325408,-1.088896859,95.45829852,79.68627582,5.272981307,-10.72368662
Host,XP_020913283.1,LOC110250928,197,XM_021057624.2,110250928,NW_018384102.1:1028319-1035128,Endomembrane vesicles 1,synaptobrevin_homolog_YKT6,YKT6,-,Longin_(45-111);Synaptobrevin_(135-195),K08516:YKT6;_synaptobrevin_homolog_YKT6,PTHR45806:SF1::SYNAPTOBREVIN_HOMOLOG_YKT6,-2.035308402,-0.041146569,-0.37337474,-1.531950179,-1.178105379,0.6678262,92.83735552,77.27816555,5.343344146,-10.60289493
